page_title,text_content
Formation Continue,"Au titre de l’année universitaire 2023-2024, la Faculté des Sciences et Techniques de Tanger offre quinze filières en formation continue couronnée par un Diplôme d’Université.

Diplôme du Cycle d’Approfondissement (DCA): (Bac+3) : S’adresse aux techniciens spécialisés d’entreprises et aux titulaires d’un DEUG, d’un DUT, d’un BTS ou d’un diplôme reconnu équivalent (Bac+2). Cette formation permet aux sortants de s’intégrer rapidement dans le monde professionnel ou de s’adapter à de nouvelles fonctions au sein de l’entreprise.Le DCA se prépare en une année.

Diplôme du Cycle des Etudes Supérieures Spécialisées (DCESS) : (Bac+5) : S’adresse aux diplômés de (Bac+3) en situation d’activité ou non. Le dispositif mis en place a pour objectif   la création des conditions d’insertion, d’une réinsertion ou une adaptation à de nouvelles fonctions dans l’entreprise. Ce diplôme se prépare en quatre semestres (2 années).

Pour plus d'informations, d'ordre pédagogique, contacter directement le professeur coordinateur de la filière choisie.

Tél : +212664913791 / +212660104681  | Email : akourri.omar@hotmail.com / fc@fstt.ac.ma"
DEUST – FST,"BIOLOGIE-CHIMIE-GEOLOGIE
GÉNIE ELECTRIQUE – GÉNIE MÉCANIQUE
MATHÉMATIQUES-INFORMATIQUE-PHYSIQUE
MATHÉMATIQUES-INFORMATIQUE-PHYSIQUE-CHIMIE"
BIOLOGIE-CHIMIE-GEOLOGIE – FST,"OBJECTIFS
PROGRAMME
COMPETENCES VISEES ET DEBOUCHES
COORDINATEUR
Le tronc commun BCG est un cursus qui comporte un ensemble de modules pris dans plusieurs champs disciplinaires et ayant pour objectif de faire acquérir des connaissances, des aptitudes et des compétences. Donner à l’étudiant les outils méthodologique pour qu’il puisse organiser son travail et développer un esprit de synthèse, de rigueur et d’initiative.
L’objectif de cette formation et de donner à l’étudiant les possibilités d'orienter sa carrière vers les licences de chimie, de biologie et de géologie.
Également, ce tronc commun permet à l’étudiant de postuler à des concours d’accès aux cycles ingénieurs de notre établissement ainsi qu’au concours nationaux ou internationaux des écoles d’ingénieurs.
Semestre 1
• Biologie cellulaire
• Optique et Radioactivité
• Cosmologie & Géodynamique interne
• Structure de la matière
• Algèbre
• Langues et Communication -LC1
Semestre 2
• Biologie animale
• Thermodynamique/ Mécanique des fluides
• Géodynamique externe
• Réactivité chimique
• Analyse
• Langues et Communication –LC2
Semestre 3
• Biologie végétale
• Électricité
• Stratigraphie & Paléo-environnement
• Chimie Organique 1
• Chimie Minérale 1
• Probabilités/Statistiques
Semestre 4
• Biochimie structurale
• Microbiologie
• Chimie organique 2/ chimie minérale 2
• Biochimie métabolique
• Base de données
• Langues et Communication –LC3
Coordinnateur pédagogique
: Pr.Chouaibi Nour Eddine
:  n.chouaibi@uae.ac.ma"
GÉNIE ELECTRIQUE – GÉNIE MÉCANIQUE – FST,"OBJECTIFS
PROGRAMME
COMPETENCES VISEES ET DEBOUCHES
COORDINATEUR
L’objectif du tronc commun GE/GM est de donner à l’étudiant une base solide en matières scientifiques (physique, chimie et mathématiques etc…) et techniques (Electrotechnique, Automatique, mécanique et instrumentation et métrologie) qui vont lui permet de continuer ses études en licences qui émanent de ce parcours tout en gardant la possibilité de se réorienter à d’autres licences des autres troncs communs comme MIP et MIPC.
Également, ce tronc commun permet à l’étudiant de postuler à des concours nationaux ou internationaux des écoles d’ingénieurs.
Semestre 1
• Circuits électriques et électroniques
• Electricité
• Analyse 1 : Fonction d’une variable réelle
• Algèbre 1 : Polynômes et espaces vectoriels
• Algorithmique et Programmation 1
• Langues et Communication -LC1
Semestre 2
• Thermodynamique
• Mécanique du point et Optique géométrique
• Analyse 2 : Calcul intégral et équations différentielles
• Algèbre 2 : Réduction des endomorphismes et formes
quadratiques
• Structure de la matière
• Langues et Communication –LC2
Semestre 3
• Mécanique des Solides
• Electronique
• Statistique descriptive/probabilités
• Algorithmique et Programmation 2
• Métrologie et instrumentation
• Gestion
Semestre 4
• Electrotechnique
• Automatique
• Fabrication mécanique
• Construction mécanique
• Informatique 3
• Analyse numérique
Coordinnateur pédagogique
: Pr.Jbilou Mohammed
:  mjbilou@uae.ac.ma"
MATHÉMATIQUE-INFORMATIQUE-PHYSIQUE – FST,"OBJECTIFS
PROGRAMME
COMPETENCES VISEES ET DEBOUCHES
COORDINATEUR
L’objectif du tronc commun MIP est de donner à l’étudiant une base solide dans les matières scientifiques (physique, chimie et mathématiques etc…) qui vont lui permettre de continuer ses études dans les semestres S5 et S6 des cycles licences qui émanent de ce parcours tout en gardant la possibilité de se réorienter vers d’autres troncs communs comme MIPC et GE/GM.
Également, ce tronc commun permet à l’étudiant de postuler à des concours d’accès aux cycles ingénieurs dispensés dans notre établissement et aussi à des concours nationaux ou internationaux des écoles d’ingénieurs.
Semestre 1
• Circuits électriques et électroniques
• Electricité
• Analyse 1 : Fonction d’une variable réelle
• Algèbre 1 : Polynômes et espaces vectoriels
• Algorithmique et Programmation 1
• Langues et Communication -LC1
Semestre 2
• Thermodynamique
• Mécanique du point et Optique géométrique
• Analyse 2 : Calcul intégral et équations différentielles
• Algèbre 2 : Réduction des endomorphismes et formes
quadratiques
• Structure de la matière
• Langues et Communication –LC2
Semestre 3
• Mécanique des Solides
• Analyse 3 : Fonctions de plusieurs variables et calcul des intégrales multiples
• Statistique descriptive/probabilités
• Algorithmique et Programmation 2
• Réactivité chimique
• Langues et Communication –LC3
Semestre 4
• Électromagnétisme
• Mécanique quantique et Relativité
• Analyse 4: Séries de fonctions et calcul des résidus
• Structure de données en C
• Chimie organique 1
• Chimie minérale 1
Coordinnateur pédagogique
: Pr.Jbilou Mohammed
:  mjbilou@uae.ac.ma"
MATHÉMATIQUES-INFORMATIQUE-PHYSIQUE-CHIMIE – FST,"OBJECTIFS
PROGRAMME
COMPETENCES VISEES ET DEBOUCHES
COORDINATEUR
L’objectif du tronc commun MIPC est de donner à l’étudiant une base solide dans les matières scientifiques (physique, chimie et mathématiques etc…) qui vont lui permettre de continuer ses études dans les semestres S5 et S6 des cycles licences qui émanent de ce parcours tout en gardant la possibilité de se réorienter vers d’autres troncs communs comme MIP et GE/GM.
Également, ce tronc commun permet à l’étudiant de postuler à des concours d’accès aux cycles ingénieurs dispensés dans notre établissement et aussi à des concours nationaux ou internationaux des écoles d’ingénieurs.
Semestre 1
• Circuits électriques et électroniques
• Electricité
• Analyse 1 : Fonction d’une variable réelle
• Algèbre 1 : Polynômes et espaces vectoriels
• Algorithmique et Programmation 1
• Langues et Communication -LC1
Semestre 2
• Thermodynamique
• Mécanique du point et Optique géométrique
• Analyse 2 : Calcul intégral et équations différentielles
• Algèbre 2 : Réduction des endomorphismes et formes quadratiques
• Structure de la matière
• Langues et Communication –LC2
Semestre 3
• Électromagnétisme
• Analyse 3 : Fonctions de plusieurs variables et calcul des intégrales multiples
• Statistique descriptive/probabilités
• Algorithmique et Programmation 2
• Réactivité chimique
• LC3
Semestre 4
• Mécanique des Solides
• Mécanique quantique et Relativité
• Analyse 4: Séries de fonctions et calcul des résidus
• Structure de données en C
• Chimie organique 1
• Chimie minérale 1
Coordinnateur pédagogique
: Pr.Jbilou Mohammed
:  mjbilou@uae.ac.ma"
Filières de Licence en Sciences et Techniques (LST) – FST,"Analytique des données
Biotechnologies (Options : animale et végétale)
Design Industriel et Productique (DIP)
Énergies Renouvelables (EnR)
Génie civil
Génie des Procédés
Génie Électrique Option: Génie
Électrique & Système Industriel
Génie Industriel
Génie Informatique
Géosciences Appliquées
Ingénierie de Développement d’Applications
Informatiques
Ingénierie Statistique
Mathématiques et Applications
Mathématiques et Informatique Décisionnelles
Risques et Ressources Naturels
Statistique et Science des Données
Techniques d'Analyses Chimiques (TAC)"
LST : Analytique des données – FST,"OBJECTIFS
PROGRAMME
COMPETENCES VISEES ET DEBOUCHES
COORDINATEUR
La Licence Science et Techniques en analytique des données permet aux étudiants de doter de compétences en matière d'outils informatiques, des
techniques et des méthodes statistiques pour permettre d’organiser, de synthétiser et de traduire efficacement les données métier d’une
organisation. L'étudiant doit être en mesure d'apporter un appui analytique à la conduite d'exploration et à l'analyse complexe de données.
Semestre 5
• Mathématiques pour la science des données
• Structures des données avancées et théorie des graphes
• Fondamentaux des bases de données
• Algorithmique avancée et programmation
• Développement WEB
• Développement personnel et intelligence émotionnelle (Soft skills)
Semestre 6
• Analyse et fouille de données
• Systèmes et réseaux
• Ingénierie des données
• PFE
Masters en sciences de données: fouille de données, business analytiques, blockchain,
Masters orientés e-Technologies: e-Business, e-Administration et e-Logistique
Formations d’Ingénieurs dans une école d’ingénieurs à l’issue de la deuxième ou de la troisième année de licence
Data scientist
Technicien supérieur en SGBD R : installation, configuration et administration des SGBD
WebMaster et développeur de sites web dynamiques
Intégration du monde du travail dans les entreprises et les bureaux d’études
Coordinnateur
: Pr.BAIDA Ouafae
:  wbaida@uae.ac.ma"
LST: Biotechnologies – FST,"OBJECTIFS
PROGRAMME
COMPETENCES VISEES ET DEBOUCHES
COORDINATEUR
L’objectif de la licence Biotechnologie consiste à former des étudiants dans les différents champs disciplinaires de la biologie moderne et de permettre aux étudiants d’acquérir de solides connaissances scientifiques pour une réelle compréhension du Vivant. L’enseignement est conçu pour allier concepts fondamentaux et apprentissage des outils méthodologiques. Il est également conçu pour étendre les compétences au-delà du domaine de la biologie, en particulier vers le monde économique. Ce parcours de licence vise donc à :
Donner des bases fondamentales et des techniques dans le domaine de la biologie moléculaire, de la génétique, de l’immunologie, du génie microbiologique, de l’enzymologie, de la physiologie animale ou végétale, de la biotechnologie animale ou végétale, de l’Ecologie appliquée à la biologie et de la lutte biologique.
Sensibiliser les étudiants aux évolutions technologiques des disciplines concernées.
Permettre aux étudiants d'accéder à un Master.
Intégrer la réflexion scientifique aux problèmes de société.
Semestre 5
• Biologie moléculaire
• Génétique
• Enzymologie
• Immunologie et immunotechnologie
• Génie Microbiologique
• Techniques appliquées à la Biologie
Semestre 6 ( Option : végétale)
• Valorisation des ressources végétales et génie des biomolécules
• Physiologie végétale
• Biotechnologie végétale
• Projet de fin d’études
Semestre 6 ( Option : Animale)
• Ecologie appliquée à la biologie et lutte biologique
• Physiologie Animale
• Biotechnologie Animale
• Projet de fin d’études
Les métiers auxquels peuvent prétendre les diplômés de la Licence Biotechnologie sont :
Les métiers de l'enseignement primaire, secondaire.
Les métiers de la recherche appliquée et du développement dans les secteurs des biotechnologies, de l'agro-  alimentaire, de l'industrie pharmaceutique,...
Les métiers de la vente (délégués médicaux, technico-commerciaux, entretien d'appareillages scientifiques...).
Les métiers du conseil (consultants, experts auprès de cabinets juridiques ou d'institutions).
Les métiers du journalisme scientifique.
Coordinnateur pédagogique
: Pr.Bouayad Noureddin
:  nbouayad@uae.ac.ma"
LST: Design Industriel et Productique – FST,"OBJECTIFS
PROGRAMME
COMPETENCES VISEES ET DEBOUCHES
COORDINATEUR
Le Lauréat de Licence en Design et Productique en Génie Mécanique, à travers sa formation technique et scientifique, sera en mesure de suivre et d’intervenir dans toutes les étapes de Design, de réalisation, de Contrôle et de suivi du produit tout au long de son cycle de vie.
Semestre 5
• Choix des matériaux, dimensionnement et essais
• Eléments de machines
• Machines industrielles
• Management Industriel
• CAO : Conception Assistée par Ordinateur
• Métrologie et Contrôle de Qualité
Semestre 6
• FAO : Fabrication Assistée par Ordinateur
• Prototypage Rapide
• Innovation et créativité
• Projet de fin d’études
Planification et ordonnancement des opérations de fabrication ;
Participation à l’élaboration d’un cahier de charge de produit mécanique ;
Gestion de la production mécanique ;
Maintenance des équipements mécaniques (Roulements, embrayages, pompes, …) ;
Contrôle de la conformité des produits dans les Laboratoires et Département qualité : Spécification géométriques
        et d’état de surface, Essais Mécaniques, Traitements thermiques des matériaux ;
Intégration des Services Techniques d’Achat de vente et après-vente.
Coordinnateur pédagogique
: Pr.Elmesbahi Abdelilah
:  a.mesbahi@uae.ac.ma"
LST: Energies Renouvelables – FST,"OBJECTIFS
PROGRAMME
COMPETENCES VISEES ET DEBOUCHES
COORDINATEUR
Approfondir les connaissances scientifiques et techniques en énergies renouvelables. Ce domaine inclut l’énergie solaire, éolienne, géothermique, hydraulique, thermoélectrique, L’énergie de la biomasse, le stockage de l’énergie, l’efficacité énergétique.
Elle permettra aux étudiants de pouvoir créer leur entreprise pour l’installation et l’entretien des mini installations photovoltaïques, éolienne, donner du conseil au niveau EnR, ou intégrer des cycles d’ingénieurs ou de Master spécialisés.
Semestre 5
• Calcul Scientifique/Traitement du Signal
• Mécanique des Fluides/Transferts Thermiques
• Génie des Matériaux
• Convertisseurs Statiques d’Énergie Électrique
• Électrotechnique et Machines Électriques
• Production des Énergies Renouvelables
Semestre 6
• Énergie Solaire
• Énergie Éolienne
• Maintenance et fiabilité/Gestion de projets- Législation
• Projet de fin d’études
Lors de cette formation, les étudiants auront à étudier les différentes formes de production des énergies renouvelables (EnR). Ils apprendront les fondements scientifiques et techniques sur l’énergie solaire (photovoltaïque, thermique), éolien, hydraulique, géothermique, l’énergie de biomasse et déchets, le stockage d’énergie, et l’efficacité énergétique.
Coordinnateur pédagogique
: Pr.Ahachad Mohammed
:  mahachad@uae.ac.ma"
